Contact,Salutation/Title,Job Title,Electorate,Party,Parliament Email
"Abel, Steve",,List Member,,Green Party,Steve.Abel@parliament.govt.nz
"Andersen, Ginny",Hon,List Member,,Labour Party,Ginny.Andersen@parliament.govt.nz
"Anderson, Miles",,Member for Waitaki,Waitaki,National Party,Miles.Anderson@parliament.govt.nz
"Arbuckle, Jamie",,List Member,,NZ First,Jamie.Arbuckle@parliament.govt.nz
"Bates, Carl",,Member for Whanganui,Whanganui,National Party,Carl.Bates@parliament.govt.nz
"Bayly, Andrew",Hon,Member for Port Waikato,Port Waikato,National Party,Andrew.Bayly@parliament.govt.nz
"Belich, Camilla",,List Member,,Labour Party,Camilla.Belich@parliament.govt.nz
"Bennett, Glen",,List Member,,Labour Party,Glen.Bennett@parliament.govt.nz
"Bidois, Daniel",,Member for Northcote,Northcote,National Party,Dan.Bidois@parliament.govt.nz
"Bishop, Chris",Hon,Member for Hutt South,Hutt South,National Party,Chris.Bishop@parliament.govt.nz
"Boyack, Rachel",,Member for Nelson,Nelson,Labour Party,Rachel.Boyack@parliament.govt.nz
"Brewer, Cameron",,Member for Upper Harbour,Upper Harbour,National Party,Cameron.Brewer@parliament.govt.nz
"Brooking, Rachel",Hon,Member for Dunedin,Dunedin,Labour Party,Rachel.Brooking@parliament.govt.nz
"Brown, Simeon",Hon,Member for Pakuranga,Pakuranga,National Party,Simeon.Brown@parliament.govt.nz
"Brownlee, Gerry",Rt. Hon.,List Member,,National Party,Gerry.Brownlee@parliament.govt.nz
"Butterick, Mike",,Member for Wairarapa,Wairarapa,National Party,Mike.Butterick@parliament.govt.nz
"Cameron, Mark",,List Member,,ACT New Zealand,Mark.Cameron@parliament.govt.nz
"Campbell, Hamish",Dr.,Member for Ilam,Ilam,National Party,Hamish.Campbell@parliament.govt.nz
"Carter, Kahurangi",,List Member,,Green Party,Kahurangi.Carter@parliament.govt.nz
"Cheung, Carlos",Dr.,Member for Mt Roskill,Mt Roskill,National Party,Carlos.Cheung@parliament.govt.nz
"Chhour, Karen",Hon,List Member,,ACT New Zealand,Karen.Chhour@parliament.govt.nz
"Collins, Judith",Hon,Member for Papakura,Papakura,National Party,Judith.Collins@parliament.govt.nz
"Costello, Casey",Hon,List Member,,NZ First,Casey.Costello@parliament.govt.nz
"Costley, Tim",,Member for Ōtaki,Ōtaki,National Party,Tim.Costley@parliament.govt.nz
"Court, Simon",,List Member,,ACT New Zealand,Simon.Court@parliament.govt.nz
"Davidson, Marama",Hon,List Member,,Green Party,Marama.Davidson@parliament.govt.nz
"Davidson, Reuben",,Member for Christchurch East,Christchurch East,Labour Party,Reuben.Davidson@parliament.govt.nz
"Doocey, Matt",Hon,Member for Waimakariri,Waimakariri,National Party,Matt.Doocey@parliament.govt.nz
"Doyle, Benjamin",,List Member,,Green Party,Benjamin.Doyle@parliament.govt.nz
"Edmonds, Barbara",Hon,Member for Mana,Mana,Labour Party,Barbara.Edmonds@parliament.govt.nz
"Ferris, Tākuta",,Member for Te Tai Tonga,Te Tai Tonga,Te Pāti Māori,Takuta.Ferris@parliament.govt.nz
"Fleming, Greg",,Member for Maungakiekie,Maungakiekie,National Party,Greg.Fleming@parliament.govt.nz
"Foster, Andy",,List Member,,NZ First,Andy.Foster@parliament.govt.nz
"Garcia, Paulo",,Member for New Lynn,New Lynn,National Party,Paulo.Garcia@parliament.govt.nz
"Genter, Julie Anne",Hon,Member for Rongotai,Rongotai,Green Party,JulieAnne.Genter@parliament.govt.nz
"Goldsmith, Paul",Hon,List Member,,National Party,Paul.Goldsmith@parliament.govt.nz
"Grigg, Nicola",Hon,Member for Selwyn,Selwyn,National Party,Nicola.Grigg@parliament.govt.nz
"Halbert, Shanan",,List Member,,Labour Party,Shanan.Halbert@parliament.govt.nz
"Hamilton, Ryan",,Member for Hamilton East,Hamilton East,National Party,Ryan.Hamilton@parliament.govt.nz
"Henare, Peeni",Hon,List Member,,Labour Party,Peeni.Henare@parliament.govt.nz
"Hernandez, Francisco",,List Member,,Green Party,Francisco.Hernandez@parliament.govt.nz
"Hipkins, Chris",Rt. Hon.,Member for Remutaka,Remutaka,Labour Party,Chris.Hipkins@parliament.govt.nz
"Hoggard, Andrew",Hon,List Member,,ACT New Zealand,Andrew.Hoggard@parliament.govt.nz
"Jackson, Willie",Hon,List Member,,Labour Party,Willie.Jackson@parliament.govt.nz
"Jones, Shane",Hon,List Member,,NZ First,Shane.Jones@parliament.govt.nz
"Kapa-Kingi, Mariameno",,Member for Te Tai Tokerau,Te Tai Tokerau,Te Pāti Māori,Mariameno.Kapa-Kingi@parliament.govt.nz
"Kirkpatrick, Dana",,Member for East Coast,East Coast,National Party,Dana.Kirkpatrick@parliament.govt.nz
"Kuriger, Barbara",,Member for Taranaki-King Country,Taranaki-King Country,National Party,Barbara.Kuriger@parliament.govt.nz
"Leary, Ingrid",,Member for Taieri,Taieri,Labour Party,Ingrid.Leary@parliament.govt.nz
"Lee, Melissa",Hon,List Member,,National Party,Melissa.Lee@parliament.govt.nz
"Lu, Nancy",,List Member,,National Party,Nancy.Lu@parliament.govt.nz
"Luxon, Christopher",Rt. Hon.,Member for Botany,Botany,National Party,Christopher.Luxon@parliament.govt.nz
"Luxton, Cameron",,List Member,,ACT New Zealand,Cameron.Luxton@parliament.govt.nz
